Date,Gia_vang,Gia_dau,Chi_so_bien_dong,Ty_gia_USD_VND,Gia_vang_the_gioi,Lai_suat_%,So_nguoi_mua,So_nguoi_ban,Gia_vang_tg
2025-08-20 23:00:00+00:00,3343.399902,63.20999908,15.68999958,26370,308.3599854,0.4,4637,1000,3083.599854
2025-08-21 04:00:00+00:00,3336.899902,63.52000046,16.60000038,26370,307.2900085,0.4,4690,1000,3072.900085
2025-08-21 23:00:00+00:00,3336.899902,63.52000046,16.60000038,26405,307.2900085,0.4,4690,1000,3072.900085
2025-08-22 04:00:00+00:00,3374.399902,63.65999985,14.22000027,26405,310.5799866,0.4,4529,1000,3105.799866
2025-08-24 23:00:00+00:00,3374.399902,63.65999985,14.22000027,26300,310.5799866,0.4,4529,1000,3105.799866
2025-08-25 04:00:00+00:00,3373.800049,64.80000305,14.78999996,26300,309.8299866,0.4,4566,1000,3098.299866
2025-08-25 23:00:00+00:00,3373.800049,64.80000305,14.78999996,26300,309.8299866,0.4,4566,1000,3098.299866
2025-08-26 04:00:00+00:00,3388.600098,63.25,14.61999989,26300,312.0799866,0.4,4455,1000,3120.799866
2025-08-26 23:00:00+00:00,3388.600098,63.25,14.61999989,26340,312.0799866,0.4,4455,1000,3120.799866
2025-08-27 04:00:00+00:00,3404.600098,64.15000153,14.85000038,26340,312.7099915,0.4,4425,1000,3127.099915
2025-08-27 23:00:00+00:00,3404.600098,64.15000153,14.85000038,26374,312.7099915,0.4,4425,1000,3127.099915
2025-08-28 04:00:00+00:00,3431.800049,64.59999847,14.43000031,26374,315.0299988,0.4,4311,1000,3150.299988
2025-08-28 23:00:00+00:00,3431.800049,64.59999847,14.43000031,26360,315.0299988,0.4,4311,1000,3150.299988
2025-08-29 04:00:00+00:00,3473.699951,64.01000214,15.35999966,26360,318.0700073,0.4,4162,1000,3180.700073
2025-08-31 23:00:00+00:00,3473.699951,64.01000214,15.35999966,26340,318.0700073,0.4,4162,1000,3180.700073
2025-09-01 23:00:00+00:00,3473.699951,64.01000214,15.35999966,26340,318.0700073,0.4,4162,1000,3180.700073
2025-09-02 04:00:00+00:00,3549.399902,65.58999634,17.17000008,26340,325.5899963,0.4,3794,1205,3255.899963
2025-09-02 23:00:00+00:00,3549.399902,65.58999634,17.17000008,26340,325.5899963,0.4,3794,1205,3255.899963
2025-09-03 04:00:00+00:00,3593.199951,63.97000122,16.35000038,26340,328.1400146,0.4,3670,1329,3281.400146
2025-09-03 23:00:00+00:00,3593.199951,63.97000122,16.35000038,26365,328.1400146,0.4,3670,1329,3281.400146
